x	y
3073	5.195e3
3073	5.208e3
3073	5.227e3
3073	5.227e3
3073	5.258e3
3073	5.265e3
3073	5.283e3
3073	5.325e3
3073	5.342e3
3073	5.352e3
3073	5.357e3
3074	5.361e3
3074	5.380e3
3074	5.355e3
3074	5.357e3
3074	5.333e3
3074	5.329e3
3074	5.329e3
3074	5.306e3
3074	5.282e3
3074	5.276e3
3074	5.281e3
3074	5.256e3
3074	5.270e3
3074	5.265e3
3074	5.251e3
3074	5.208e3
3074	5.185e3
3074	5.173e3
3074	5.204e3
3074	5.203e3
3074	5.177e3
3074	5.169e3
3074	5.131e3
3074	5.098e3
3074	5.067e3
3074	5.041e3
3074	5.007e3
3074	4.987e3
3074	4.996e3
3074	4.999e3
3074	4.953e3
3074	4.899e3
3074	4.849e3
3074	4.820e3
3074	4.809e3
3074	4.793e3
3074	4.787e3
3074	4.769e3
3074	4.735e3
3074	4.734e3
3074	4.709e3
3075	4.705e3
3075	4.683e3
3075	4.683e3
3075	4.679e3
3075	4.684e3
3075	4.671e3
3075	4.622e3
3075	4.603e3
3075	4.630e3
3075	4.640e3
3075	4.638e3
3075	4.627e3
3075	4.671e3
3075	4.664e3
3075	4.688e3
3075	4.674e3
3075	4.694e3
3075	4.711e3
3075	4.732e3
3075	4.759e3
3075	4.767e3
3075	4.798e3
3075	4.810e3
3075	4.828e3
3075	4.843e3
3075	4.832e3
3075	4.838e3
3075	4.841e3
3075	4.806e3
3075	4.817e3
3075	4.828e3
3075	4.837e3
3075	4.870e3
3075	4.885e3
3075	4.899e3
3075	4.903e3
3075	4.927e3
3075	4.947e3
3075	4.962e3
3075	4.955e3
3075	4.996e3
3075	5.029e3
3076	5.062e3
3076	5.079e3
3076	5.105e3
3076	5.115e3
3076	5.125e3
3076	5.125e3
3076	5.117e3
3076	5.107e3
3076	5.094e3
3076	5.086e3
3076	5.076e3
3076	5.075e3
3076	5.061e3
3076	5.067e3
3076	5.069e3
3076	5.062e3
3076	5.053e3
3076	5.022e3
3076	4.989e3
3076	4.956e3
3076	4.941e3
3076	4.912e3
3076	4.905e3
3076	4.879e3
3076	4.891e3
3076	4.852e3
3076	4.854e3
3076	4.837e3
3076	4.812e3
3076	4.800e3
3076	4.750e3
3076	4.702e3
3076	4.678e3
3076	4.653e3
3076	4.652e3
3076	4.650e3
3076	4.642e3
3076	4.657e3
3076	4.657e3
3076	4.635e3
3076	4.607e3
3077	4.574e3
3077	4.566e3
3077	4.582e3
3077	4.578e3
3077	4.555e3
3077	4.554e3
3077	4.521e3
3077	4.529e3
3077	4.517e3
3077	4.503e3
3077	4.499e3
3077	4.500e3
3077	4.480e3
3077	4.452e3
3077	4.438e3
3077	4.435e3
3077	4.440e3
3077	4.440e3
3077	4.444e3
3077	4.432e3
3077	4.431e3
3077	4.443e3
3077	4.450e3
3077	4.434e3
3077	4.405e3
3077	4.409e3
3077	4.427e3
3077	4.427e3
3077	4.436e3
3077	4.454e3
3077	4.464e3
3077	4.437e3
3077	4.412e3
3077	4.402e3
3077	4.371e3
3077	4.378e3
3077	4.390e3
3077	4.378e3
3077	4.366e3
3077	4.357e3
3077	4.373e3
3078	4.370e3
3078	4.355e3
3078	4.348e3
3078	4.356e3
3078	4.357e3
3078	4.360e3
3078	4.357e3
3078	4.333e3
3078	4.334e3
3078	4.328e3
3078	4.317e3
3078	4.336e3
3078	4.325e3
3078	4.324e3
3078	4.321e3
3078	4.302e3
3078	4.313e3
3078	4.312e3
3078	4.300e3
3078	4.291e3
3078	4.259e3
3078	4.245e3
3078	4.249e3
3078	4.240e3
3078	4.227e3
3078	4.233e3
3078	4.227e3
3078	4.222e3
3078	4.214e3
3078	4.208e3
3078	4.208e3
3078	4.189e3
3078	4.171e3
3078	4.174e3
3078	4.199e3
3078	4.201e3
3078	4.188e3
3078	4.176e3
3078	4.185e3
3078	4.176e3
3078	4.176e3
3079	4.195e3
3079	4.222e3
3079	4.233e3
3079	4.237e3
3079	4.216e3
3079	4.179e3
3079	4.206e3
3079	4.236e3
3079	4.247e3
3079	4.248e3
3079	4.266e3
3079	4.273e3
3079	4.294e3
3079	4.276e3
3079	4.270e3
3079	4.281e3
3079	4.275e3
3079	4.293e3
3079	4.299e3
3079	4.328e3
3079	4.346e3
